dataset,activation,initialization,optimizer,epochs,final_accuracy,training_time_sec,weights_path
CIFAR10,relu,xavier,sgd,40,79.1,300.4138777256012,/kaggle/working/experiment_results/weights/CIFAR10_relu_xavier_sgd.pth
CIFAR10,relu,xavier,adam,40,78.92,298.6480805873871,/kaggle/working/experiment_results/weights/CIFAR10_relu_xavier_adam.pth
CIFAR10,relu,xavier,rmsprop,40,73.31,298.46141600608826,/kaggle/working/experiment_results/weights/CIFAR10_relu_xavier_rmsprop.pth
CIFAR10,relu,kaiming,sgd,40,77.1,302.635582447052,/kaggle/working/experiment_results/weights/CIFAR10_relu_kaiming_sgd.pth
CIFAR10,relu,kaiming,adam,40,76.92,302.05381870269775,/kaggle/working/experiment_results/weights/CIFAR10_relu_kaiming_adam.pth
CIFAR10,relu,kaiming,rmsprop,40,71.45,299.4511797428131,/kaggle/working/experiment_results/weights/CIFAR10_relu_kaiming_rmsprop.pth
CIFAR10,relu,random,sgd,40,82.43,296.0339300632477,/kaggle/working/experiment_results/weights/CIFAR10_relu_random_sgd.pth
CIFAR10,relu,random,adam,40,75.2,299.1558110713959,/kaggle/working/experiment_results/weights/CIFAR10_relu_random_adam.pth
CIFAR10,relu,random,rmsprop,40,72.69,299.0943341255188,/kaggle/working/experiment_results/weights/CIFAR10_relu_random_rmsprop.pth
CIFAR10,tanh,xavier,sgd,40,75.34,298.5001857280731,/kaggle/working/experiment_results/weights/CIFAR10_tanh_xavier_sgd.pth
CIFAR10,tanh,xavier,adam,40,63.87,301.8638048171997,/kaggle/working/experiment_results/weights/CIFAR10_tanh_xavier_adam.pth
CIFAR10,tanh,xavier,rmsprop,40,53.29,302.3220250606537,/kaggle/working/experiment_results/weights/CIFAR10_tanh_xavier_rmsprop.pth
CIFAR10,tanh,kaiming,sgd,40,73.97,295.4157199859619,/kaggle/working/experiment_results/weights/CIFAR10_tanh_kaiming_sgd.pth
CIFAR10,tanh,kaiming,adam,40,64.6,295.26384568214417,/kaggle/working/experiment_results/weights/CIFAR10_tanh_kaiming_adam.pth
CIFAR10,tanh,kaiming,rmsprop,40,51.42,294.1047430038452,/kaggle/working/experiment_results/weights/CIFAR10_tanh_kaiming_rmsprop.pth
CIFAR10,tanh,random,sgd,40,77.11,293.83069467544556,/kaggle/working/experiment_results/weights/CIFAR10_tanh_random_sgd.pth
CIFAR10,tanh,random,adam,40,61.94,296.2836809158325,/kaggle/working/experiment_results/weights/CIFAR10_tanh_random_adam.pth
CIFAR10,tanh,random,rmsprop,40,51.38,292.240953207016,/kaggle/working/experiment_results/weights/CIFAR10_tanh_random_rmsprop.pth
CIFAR10,leaky_relu,xavier,sgd,40,80.19,296.22148537635803,/kaggle/working/experiment_results/weights/CIFAR10_leaky_relu_xavier_sgd.pth
CIFAR10,leaky_relu,xavier,adam,40,79.32,296.552702665329,/kaggle/working/experiment_results/weights/CIFAR10_leaky_relu_xavier_adam.pth
CIFAR10,leaky_relu,xavier,rmsprop,40,70.0,292.3897593021393,/kaggle/working/experiment_results/weights/CIFAR10_leaky_relu_xavier_rmsprop.pth
CIFAR10,leaky_relu,kaiming,sgd,40,79.5,293.459424495697,/kaggle/working/experiment_results/weights/CIFAR10_leaky_relu_kaiming_sgd.pth
CIFAR10,leaky_relu,kaiming,adam,40,78.39,293.5286273956299,/kaggle/working/experiment_results/weights/CIFAR10_leaky_relu_kaiming_adam.pth
CIFAR10,leaky_relu,kaiming,rmsprop,40,75.38,291.3899509906769,/kaggle/working/experiment_results/weights/CIFAR10_leaky_relu_kaiming_rmsprop.pth
CIFAR10,leaky_relu,random,sgd,40,81.25,287.90342712402344,/kaggle/working/experiment_results/weights/CIFAR10_leaky_relu_random_sgd.pth
CIFAR10,leaky_relu,random,adam,40,79.53,291.1624138355255,/kaggle/working/experiment_results/weights/CIFAR10_leaky_relu_random_adam.pth
CIFAR10,leaky_relu,random,rmsprop,40,72.87,291.70997762680054,/kaggle/working/experiment_results/weights/CIFAR10_leaky_relu_random_rmsprop.pth
