dataset,activation,initialization,optimizer,epochs,final_accuracy,training_time_sec,weights_path
CatsDogs,relu,xavier,sgd,40,85.66,838.4264779090881,/kaggle/working/experiment_results/weights/CatsDogs_relu_xavier_sgd.pth
CatsDogs,relu,xavier,adam,40,83.5,838.4278328418732,/kaggle/working/experiment_results/weights/CatsDogs_relu_xavier_adam.pth
CatsDogs,relu,xavier,rmsprop,40,87.34,833.8430104255676,/kaggle/working/experiment_results/weights/CatsDogs_relu_xavier_rmsprop.pth
CatsDogs,relu,kaiming,sgd,40,86.18,837.2070419788361,/kaggle/working/experiment_results/weights/CatsDogs_relu_kaiming_sgd.pth
CatsDogs,relu,kaiming,adam,40,89.28,832.9592804908752,/kaggle/working/experiment_results/weights/CatsDogs_relu_kaiming_adam.pth
CatsDogs,relu,kaiming,rmsprop,40,69.08,843.144807100296,/kaggle/working/experiment_results/weights/CatsDogs_relu_kaiming_rmsprop.pth
CatsDogs,relu,random,sgd,40,74.06,842.9391286373138,/kaggle/working/experiment_results/weights/CatsDogs_relu_random_sgd.pth
CatsDogs,relu,random,adam,40,81.28,843.6708970069885,/kaggle/working/experiment_results/weights/CatsDogs_relu_random_adam.pth
CatsDogs,relu,random,rmsprop,40,87.94,832.1587264537811,/kaggle/working/experiment_results/weights/CatsDogs_relu_random_rmsprop.pth
CatsDogs,tanh,xavier,sgd,40,75.04,832.8181955814362,/kaggle/working/experiment_results/weights/CatsDogs_tanh_xavier_sgd.pth
CatsDogs,tanh,xavier,adam,40,73.6,834.453370809555,/kaggle/working/experiment_results/weights/CatsDogs_tanh_xavier_adam.pth
CatsDogs,tanh,xavier,rmsprop,40,63.26,835.2598931789398,/kaggle/working/experiment_results/weights/CatsDogs_tanh_xavier_rmsprop.pth
CatsDogs,tanh,kaiming,sgd,40,80.4,828.5566160678864,/kaggle/working/experiment_results/weights/CatsDogs_tanh_kaiming_sgd.pth
CatsDogs,tanh,kaiming,adam,40,78.18,836.3571486473083,/kaggle/working/experiment_results/weights/CatsDogs_tanh_kaiming_adam.pth
CatsDogs,tanh,kaiming,rmsprop,40,62.48,834.4470648765564,/kaggle/working/experiment_results/weights/CatsDogs_tanh_kaiming_rmsprop.pth
CatsDogs,tanh,random,sgd,40,80.64,840.4025688171387,/kaggle/working/experiment_results/weights/CatsDogs_tanh_random_sgd.pth
CatsDogs,tanh,random,adam,40,71.64,837.7382888793945,/kaggle/working/experiment_results/weights/CatsDogs_tanh_random_adam.pth
CatsDogs,tanh,random,rmsprop,40,60.7,834.7717957496643,/kaggle/working/experiment_results/weights/CatsDogs_tanh_random_rmsprop.pth
CatsDogs,leaky_relu,xavier,sgd,40,85.74,834.1628403663635,/kaggle/working/experiment_results/weights/CatsDogs_leaky_relu_xavier_sgd.pth
CatsDogs,leaky_relu,xavier,adam,40,89.4,832.0317409038544,/kaggle/working/experiment_results/weights/CatsDogs_leaky_relu_xavier_adam.pth
CatsDogs,leaky_relu,xavier,rmsprop,40,81.1,839.2082076072693,/kaggle/working/experiment_results/weights/CatsDogs_leaky_relu_xavier_rmsprop.pth
CatsDogs,leaky_relu,kaiming,sgd,40,88.02,851.7151057720184,/kaggle/working/experiment_results/weights/CatsDogs_leaky_relu_kaiming_sgd.pth
CatsDogs,leaky_relu,kaiming,adam,40,88.6,845.7803010940552,/kaggle/working/experiment_results/weights/CatsDogs_leaky_relu_kaiming_adam.pth
CatsDogs,leaky_relu,kaiming,rmsprop,40,78.1,852.8272390365601,/kaggle/working/experiment_results/weights/CatsDogs_leaky_relu_kaiming_rmsprop.pth
CatsDogs,leaky_relu,random,sgd,40,88.98,850.3188235759735,/kaggle/working/experiment_results/weights/CatsDogs_leaky_relu_random_sgd.pth
CatsDogs,leaky_relu,random,adam,40,91.18,842.6742148399353,/kaggle/working/experiment_results/weights/CatsDogs_leaky_relu_random_adam.pth
CatsDogs,leaky_relu,random,rmsprop,40,52.5,846.8225767612457,/kaggle/working/experiment_results/weights/CatsDogs_leaky_relu_random_rmsprop.pth
